# Nomina de emisores de valores de la CMF.
# fuente: https://www.cmfchile.cl/institucional/mercados/descargar_consulta?mercado=V&Estado=TO&entidad=RVEMI
# descargado: 2026-09-22
# filas: 1138
rut,dv,nombre,estado
76079624,7,ASEGURADORA MAGALLANES DE GARANTIA Y CREDITO S.A.,No Vigente
76082113,6,SOCIEDAD CONCESIONARIA SAN JOSE-TECNOCONTROL S.A.,No Vigente
76085254,6,EMPRESA ELECTRICA COCHRANE SPA,No Vigente
76096382,8,CASABLANCA GENERACION S.A. EN LIQUIDACION,No Vigente
76100458,1,"BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A.",No Vigente
76102955,K,SOPROLE INVERSIONES S.A.,Vigente
76109779,2,MELON S.A.,No Vigente
76115132,0,CANAL 13 S.A.,No Vigente
76116242,K,CFR PHARMACEUTICALS S.A.,No Vigente
76120857,8,GLOBAL SOLUCIONES FINANCIERAS S.A.,Vigente
76124890,1,TELEFONICA MOVILES CHILE S.A.,Vigente
76129263,3,EMPRESAS AGROSUPER S.A.,Vigente
76139506,8,AUTOFIN S.A.,Vigente
76141388,0,FONDO ESPERANZA SPA,Vigente
76143636,8,CAROZZI S.A.,Vigente
76148326,9,BANAGRO S.A.,Vigente
76153208,1,HOLDCO II S.A.,No Vigente
76163495,K,ELECTROLUX DE CHILE S.A.,No Vigente
76165311,3,POTASIOS INVESTMENTS S.A.,Vigente
76166816,1,SOCIEDAD CONCESIONARIA NUEVA VESPUCIO NORTE EXPRESS S.A.,Vigente
76172397,9,SOCIEDAD CONCESIONARIA RUTAS DEL DESIERTO S.A.,No Vigente
76175211,1,AXXDOS S.A.,No Vigente
76184068,1,NITRATOS DE CHILE S.A.,No Vigente
76187228,1,CELEO REDES OPERACION CHILE S.A.,Vigente
76188962,1,AGUAS NUEVAS S.A.,No Vigente
76196718,5,SOCIEDAD MATRIZ SAAM S.A.,Vigente
76197101,8,CBP FINANCIA CAPITAL FACTORING S.A.,Vigente
76199530,8,INVERSIONES ELECTRICAS DEL SUR DOS LIMITADA,No Vigente
76202885,9,INVERSIONES MAGALLANES S.A.,No Vigente
76213076,9,SOCIEDAD CONCESIONARIA RUTA DEL ALGARROBO S.A.,Vigente
76215628,8,AGUAS MAGALLANES S.A.,Vigente
76215634,2,AGUAS DEL ALTIPLANO S.A.,Vigente
76215637,7,AGUAS ARAUCANIA S.A.,Vigente
76238714,K,GAMA SERVICIOS FINANCIEROS S.A.,Vigente
76240079,0,ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,Vigente
76248064,6,BETLAN DOS S.A.,No Vigente
76265736,8,ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.,Vigente
76266594,8,EMPRESAS TRICOT S.A.,Vigente
76275453,3,TECH PACK S.A.,No Vigente
76284251,3,ATTON HOTELES S.A.,No Vigente
76293740,9,CASINO DE JUEGO DE TALCA S.A.,No Vigente
76296099,0,SALMONES AUSTRAL S.A.,No Vigente
76296350,7,SOCIEDAD CONCESIONARIA CONEXION LAS REJAS S.A.,No Vigente
76299170,5,SAN FRANCISCO INVESTMENT S.A.,No Vigente
76299790,8,CAMPOS DEPORTIVOS CRAIGHOUSE S.A.,No Vigente
76303510,7,SACYR AGUA LAMPA S.A.,No Vigente
76306696,7,INMOBILIARIA SIXTERRA S.A. EN LIQUIDACION,No Vigente
76307553,2,BK SPA,Vigente
76307944,9,SOCIEDAD CONCESIONARIA RUTA DEL LIMARI S.A.,Vigente
76309510,K,ENERGIA LATINA S.A.,Vigente
76311940,8,TRANSCHILE CHARRUA TRANSMISION S.A.,No Vigente
76317736,K,SOCIEDAD CONCESIONARIA SALUD SIGLO XXI S.A.,Vigente
76320186,4,TECNO FAST S.A.,Vigente
76322590,9,MATRIZ IDEAS S.A.,No Vigente
76326559,5,AVLA S.A.,No Vigente
76333190,3,SOCIEDAD CONCESIONARIA PUENTE CHILOE S.A.,No Vigente
76338870,0,SOCIEDAD CONCESIONARIA EMBALSE CONVENTO VIEJO S.A.,No Vigente
76360977,4,PRIMUS CAPITAL S.A.,Vigente
76362959,7,PATIO COMERCIAL SPA,Vigente
76363620,8,INMOBILIARIA Y PROMOTORA UNION ESPAÑOLA S.A.,No Vigente
76377075,3,REDMEGACENTRO S.A.,Vigente
76381570,6,INTERFACTOR S.A.,No Vigente
76384240,1,CHILE VALORA S.A.,No Vigente
76388223,3,CEM S.A.,No Vigente
76389462,2,SANTA BARBARA S.A.,No Vigente
76406900,5,SOCIEDAD INMOBILIARIA BELLAVISTA S.A. EN LIQUIDACION,No Vigente
76411321,7,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,Vigente
76418976,0,AGUAS DE ANTOFAGASTA S.A.,Vigente
76433310,1,CENCOSUD SHOPPING S.A.,Vigente
76454640,7,IFINCORP S.A.,No Vigente
76455830,8,WATT´S S.A.,Vigente
76465110,3,PI CAPITAL DE RIESGO S.A.,No Vigente
76488180,K,PAZ CORP S.A.,Vigente
76493970,0,GRUPO COSTANERA S.A.,No Vigente
76496130,7,SOCIEDAD CONCESIONARIA COSTANERA NORTE S.A.,Vigente
76518910,1,SOCIEDAD CONCESIONARIA VIA SANTA ROSA S.A.,No Vigente
76520580,8,ADMINISTRADORA PATAGONIA S.A.,No Vigente
76521930,2,CAPITALES S.A.,No Vigente
76522250,8,SOCIEDAD CONCESIONARIA CONCESIONES URBANAS S.A.,No Vigente
76527570,9,SOCIEDAD ADMINISTRADORA DEL FONDO PARA LA BONIFICACION POR RETIRO CAJALOSANDES S.A.,No Vigente
76532379,7,CHILECTRA AMERICAS S.A.,No Vigente
76536351,9,ENDESA AMERICAS S.A.,No Vigente
76536353,5,ENEL CHILE S.A.,Vigente
76555400,4,TRANSELEC S.A.,Vigente
76555430,6,TRANSELEC S.A.,No Vigente
76555835,2,ST CAPITAL SPA,Vigente
76560818,K,GAS NATURAL CHILE S.A.,No Vigente
76579000,K,COMPAÑIA DE INVERSION LATINOAMERICANA S.A.,No Vigente
76582580,6,CHUMAY CAPITAL DE RIESGO S.A.,No Vigente
76590160,K,G4 SOCIEDAD ANONIMA,No Vigente
76609803,7,NATURGY CHILE GAS NATURAL S.A.,Vigente
76652400,1,CENTRALES HIDROELECTRICAS DE AYSEN S.A.,No Vigente
76654560,2,CLARO CARRIER S.A.,No Vigente
76655650,7,INVERSIONES SANTA FE S.A.,No Vigente
76661770,0,SAN SEBASTIAN INMOBILIARIA S.A.,No Vigente
76663590,3,A5 CAPITAL S.A.,No Vigente
76672100,1,MULTIEXPORT FOODS S.A.,Vigente
76675290,K,AD RETAIL FINANCIERO S.A.,No Vigente
76719853,1,NEXUS CHILE HEALTH SPA,Vigente
76732760,9,EMPRESA DE SERVICIOS SANITARIOS ESPERANZA S.A.,No Vigente
76741450,1,TRATACAL S.A.,No Vigente
76762250,3,ADMINISTRADORA DE FONDOS DE PENSIONES MODELO S.A.,Vigente
76777600,4,WERLIND CHILE S.A.,No Vigente
76780190,4,EDITORIAL MEDICA PANAMERICANA S.A.,No Vigente
76786670,4,VOTORANTIM ANDINA S.A.,No Vigente
76820300,8,INVERBRAS DE CHILE S.A.,No Vigente
76833300,9,ESSBIO S.A.,Vigente
76838140,2,AZUL AZUL S.A.,Vigente
76842563,9,NUEVA ELECTRICA SANTIAGO SPA,No Vigente
76850128,9,NUEVA ATACAMA S.A.,Vigente
76876635,5,RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,Vigente
76902026,8,ATHENA FOODS S.A.,No Vigente
76912075,0,SUDMÉDICA S.A.,Vigente
76914344,0,A3 PROPERTY INVESTMENTS SPA,No Vigente
76937350,0,AUSTRAL CAPITAL PARTNERS S.A.,No Vigente
76954619,7,INMOBILIARIA APOQUINDO S.A.,No Vigente
76960261,5,INFRAESTRUCTURA ALPHA S.A.,Vigente
76963470,3,KASTEL S.A.,No Vigente
76965774,6,VOLCOM SECURITIZADORA S.A.,Vigente
77072500,3,SOCIEDAD DE RENTAS COMERCIALES S.A.,Vigente
77104934,6,RENTAS Y DESARROLLO BAKER SPA,No Vigente
77137860,9,COMERCIAL K SPA,Vigente
77274820,5,INVERSIONES AGUAS METROPOLITANAS S.A.,Vigente
77282311,8,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,No Vigente
77303281,5,GASCO INVERSIONES S.A.,Vigente
77312201,6,SISTEMA DE TRANSMISION DEL SUR S.A.,Vigente
77337345,0,ALFA TRANSMISORA DE ENERGIA S.A.,Vigente
77356020,K,COMERCIAL DE VALORES SERVICIOS FINANCIEROS SPA,Vigente
77380420,6,VERIZON CHILE S.A.,No Vigente
77402188,4,CHILQUINTA ENERGIA S.A.,Vigente
77465741,K,CGE TRANSMISION S.A.,Vigente
77470446,9,LITORAL TRANSMISION S.A.,Vigente
77498870,K,TRANSELEC S.A.,No Vigente
77513781,9,ADMINISTRADORA AMERICANA DE INVERSIONES S.A.,Vigente
77611649,1,SOCIEDAD TRANSMISORA METROPOLITANA S.A.,Vigente
77683400,9,SISTEMA DE TRANSMISION DEL SUR S.A.,No Vigente
77697014,K,SOCIEDAD DE INFRAESTRUCTURAS DE MERCADO S.A.,No Vigente
77726203,3,NUAM S.A.,Vigente
77729737,6,SOPROLE S.A.,Vigente
78318330,7,TRICOLOR S.A.,No Vigente
78397530,0,COMPAÑIA DISTRIBUIDORA DE ENERGIA ELECTRICA S.A.,No Vigente
78423465,7,BCI GROUP S.A.,Vigente
78576680,6,MCI INTERNATIONAL (CHILE) S.A.,No Vigente
78769870,0,INVERSIONES PREVISION SECURITY LIMITADA,Vigente
79558200,2,FINTESA SECURITIZADORA S.A.,No Vigente
79574590,4,SALMONES MAINSTREAM S.A.,No Vigente
79587210,8,MINERA ESCONDIDA LIMITADA,No Vigente
79588870,5,ESMAX DISTRIBUCION SPA,Vigente
79619200,3,CONSORCIO FINANCIERO S.A.,Vigente
79626800,K,SQM SALAR S.A.,No Vigente
79757840,1,EWOS DE CHILE S.A.,No Vigente
79768170,9,SOQUIMICH COMERCIAL S.A.,Vigente
79782150,0,EMPRESAS SUTIL S.A.,No Vigente
79784980,4,CULTIVOS MARINOS CHILOE S.A.,No Vigente
79797990,2,INVERMAR S.A.,No Vigente
79809460,2,COMPAÑIA MINERA LAS PALMAS S.A.,No Vigente
79826760,4,ENTEL TELEFONIA PERSONAL S.A.,No Vigente
79919680,8,ADMINISTRADORA DE CREDITOS COMERCIALES ACC S.A.,No Vigente
79962380,3,LA CARTUJA S.A.,No Vigente
80207900,1,"CLARO, VICUÑA, VALENZUELA S.A.",No Vigente
80311300,9,AGUAS CORDILLERA S.A.,No Vigente
80326500,3,OXIQUIM S.A.,Vigente
80492300,4,INMOBILIARIA PEDRO DE VALDIVIA S.A.,Vigente
80860400,0,BLUMAR S.A.,Vigente
80912500,9,SOC FORESTAL COBQUECURA LTDA. Y CIA C.P.A.,No Vigente
81062300,4,COSTA VERDE AERONAUTICA S.A.,No Vigente
81095400,0,SOCIEDAD NACIONAL DE OLEODUCTOS S.A.,Vigente
81201000,K,ALMACENES PARIS COMERCIAL S.A.,No Vigente
81271100,8,DETROIT CHILE S.A.,No Vigente
81276600,7,DEPORTES NAUTICOS Y TURISMO PAPUDO SOCIEDAD ANONIMA,Vigente
81290800,6,COMPAÑIA AGROPECUARIA COPEVAL S.A.,Vigente
81385800,2,INMOBILIARIA CLUB DE CAMPO S.A.,No Vigente
81494400,K,CORPORACION UNIVERSIDAD DE CONCEPCION,Vigente
81689800,5,TELEVISION NACIONAL DE CHILE,No Vigente
81826800,9,CAJA DE COMPENSACION DE ASIGNACION FAMILIAR DE LOS ANDES,Vigente
81836000,2,COPEFRUT S.A.,No Vigente
82038300,1,INMOBILIARIA CENTRAL DE ESTACIONAMIENTOS AGUSTINAS S.A.,Vigente
82152700,7,BOSQUES ARAUCO S.A.,No Vigente
82366700,0,SOPRAVAL S.A.,No Vigente
82455200,2,SOCIEDAD INMOBILIARIA AUTODROMO Y CAMPO DE DEPORTES LAS VIZCACHAS LIMITADA Y COMPAÑIA POR ACCIONES,Vigente
82606800,0,CAJA DE COMPENSACION DE ASIGNACION FAMILIAR 18 DE SEPTIEMBRE,Vigente
82777100,7,PUERTOS Y LOGISTICA S.A.,No Vigente
82912300,2,CLUB HIPICO DE PUNTA ARENAS S.A.,Vigente
82975200,K,PESQUERA YADRAN S.A.,No Vigente
83017600,4,"GARCÍA, LLORENTE Y LEIVA S.A.",Vigente
83274300,3,EMPRESAS ALMACENES PARIS S.A.,No Vigente
83628100,4,SONDA S.A.,Vigente
84126300,6,FORESTAL CRECEX S.A.,No Vigente
84356800,9,WATTS S.A.,No Vigente
84554900,1,TRANSPORTES MARITIMOS CHILOE AYSEN S.A.,No Vigente
84671700,5,SANTA ISABEL S.A.,No Vigente
84898000,5,ALUSA S.A.,No Vigente
85741000,9,BICECORP S.A.,Vigente
85805200,9,FORESTAL CELCO S.A.,No Vigente
86247400,7,EMPRESAS AQUACHILE S.A.,No Vigente
86547900,K,SOCIEDAD ANONIMA VIÑA SANTA RITA,Vigente
86897200,9,EMPRESA ELECTRICA EMEC S.A.,No Vigente
86915400,8,SACYR AGUA METROPOLITANA S.A.,No Vigente
86963200,7,FORUS S.A.,Vigente
86977200,3,EMPRESAS EMEL S.A.,No Vigente
87008400,5,SOCIEDAD EDUCACIONAL APOQUINDO LIMITADA Y COMPAÑIA C.P.A. N 2,No Vigente
87028000,9,INVERSIONES VALLE CENTRAL S.A.,No Vigente
87041000,K,INVERSIONES LAS NIEVES S.A.,No Vigente
87133000,K,SOCIEDAD EDUCACIONAL APOQUINDO LIMITADA Y COMPAÑIA C.P.A. N 1,No Vigente
87545300,9,PROCOLLECT S.A.,No Vigente
87580900,8,EMPRESA ELECTRICA DEL MAULE S.A.,No Vigente
87601500,5,EMPRESA ELECTRICA ATACAMA S.A.,No Vigente
87711200,4,TELEMERCADOS EUROPA SOCIEDAD ANONIMA,No Vigente
87756500,9,ENAP REFINERIAS S.A.,No Vigente
87770100,K,REFINERIA DE PETROLEO CONCON S.A.,No Vigente
87845500,2,TELEFONICA MOVILES CHILE S.A.,No Vigente
88006900,4,ENGIE ENERGIA CHILE S.A.,Vigente
88061600,5,CERAMICAS INDUSTRIALES S.A.,No Vigente
88221200,9,EMPRESA ELECTRICA DE MAGALLANES S.A.,Vigente
88272600,2,EMPRESA ELECTRICA DE AISEN S.A.,No Vigente
88381200,K,CLARO INFRAESTRUCTURA 171 S.A.,No Vigente
88452300,1,ALMAGRO S.A.,No Vigente
88541600,4,SALMONES UNIMARC S.A.,No Vigente
88627400,9,PESQUERA NACIONAL S.A.,No Vigente
88745400,0,INMOBILIARIA MANQUEHUE S.A.,Vigente
88983600,8,GTD TELEDUCTOS S.A.,No Vigente
89150900,6,VIÑA LOS VASCOS S.A.,Vigente
89221000,4,AGUAS MANQUEHUE S.A.,No Vigente
